filename,class
train_traffic_img_0.jpg,traffic
train_traffic_img_1.jpg,traffic
train_electric_img_5.jpg,traffic
train_traffic_img_6.jpg,traffic
train_traffic_img_7.jpg,traffic
train_traffic_img_8.jpg,traffic
train_traffic_img_12.jpg,traffic
train_traffic_img_13.jpg,traffic
train_traffic_img_14.jpg,traffic
train_traffic_img_16.jpg,traffic
train_traffic_img_17.jpg,traffic
train_traffic_img_18.jpg,traffic
train_road_img_19.jpg,traffic
train_sidewalk_img_19.jpg,traffic
train_traffic_img_20.jpg,traffic
train_traffic_img_22.jpg,traffic
train_traffic_img_23.jpg,traffic
train_traffic_img_25.jpg,traffic
train_traffic_img_26.jpg,traffic
train_traffic_img_28.jpg,traffic
train_traffic_img_29.jpg,traffic
train_canal_img_30.jpg,traffic
train_traffic_img_30.jpg,traffic
train_traffic_img_31.jpg,traffic
train_traffic_img_32.jpg,traffic
train_traffic_img_35.jpg,traffic
train_traffic_img_37.jpg,traffic
train_traffic_img_38.jpg,traffic
train_traffic_img_40.jpg,traffic
train_traffic_img_41.jpg,traffic
train_traffic_img_42.jpg,traffic
train_traffic_img_43.jpg,traffic
train_traffic_img_46.jpg,traffic
train_traffic_img_47.jpg,traffic
train_traffic_img_48.jpg,traffic
train_traffic_img_50.jpg,traffic
train_traffic_img_52.jpg,traffic
train_traffic_img_55.jpg,traffic
train_sidewalk_img_56.jpg,traffic
train_traffic_img_56.jpg,traffic
train_traffic_img_57.jpg,traffic
train_traffic_img_58.jpg,traffic
train_traffic_img_62.jpg,traffic
train_traffic_img_67.jpg,traffic
train_traffic_img_69.jpg,traffic
train_traffic_img_70.jpg,traffic
train_traffic_img_71.jpg,traffic
train_road_img_72.jpg,traffic
train_traffic_img_74.jpg,traffic
train_road_img_74.jpg,traffic
train_traffic_img_75.jpg,traffic
train_traffic_img_76.jpg,traffic
train_traffic_img_77.jpg,traffic
train_traffic_img_79.jpg,traffic
train_traffic_img_80.jpg,traffic
train_traffic_img_81.jpg,traffic
train_traffic_img_82.jpg,traffic
train_traffic_img_83.jpg,traffic
train_traffic_img_84.jpg,traffic
train_traffic_img_85.jpg,traffic
train_traffic_img_87.jpg,traffic
train_traffic_img_88.jpg,traffic
train_traffic_img_89.jpg,traffic
train_traffic_img_90.jpg,traffic
train_road_img_91.jpg,traffic
train_traffic_img_91.jpg,traffic
train_sidewalk_img_91.jpg,traffic
train_traffic_img_93.jpg,traffic
train_traffic_img_97.jpg,traffic
train_traffic_img_98.jpg,traffic
train_traffic_img_99.jpg,traffic
train_traffic_img_100.jpg,traffic
train_road_img_101.jpg,traffic
train_traffic_img_103.jpg,traffic
train_road_img_103.jpg,traffic
train_traffic_img_104.jpg,traffic
train_traffic_img_107.jpg,traffic
train_traffic_img_108.jpg,traffic
train_traffic_img_109.jpg,traffic
train_road_img_110.jpg,traffic
train_traffic_img_111.jpg,traffic
train_traffic_img_112.jpg,traffic
train_road_img_113.jpg,traffic
train_traffic_img_114.jpg,traffic
train_canal_img_116.jpg,traffic
train_traffic_img_117.jpg,traffic
train_traffic_img_118.jpg,traffic
train_traffic_img_121.jpg,traffic
train_traffic_img_125.jpg,traffic
train_traffic_img_126.jpg,traffic
train_traffic_img_128.jpg,traffic
train_traffic_img_129.jpg,traffic
train_traffic_img_130.jpg,traffic
train_stray_img_132.jpg,traffic
train_traffic_img_132.jpg,traffic
train_traffic_img_133.jpg,traffic
train_traffic_img_134.jpg,traffic
train_traffic_img_135.jpg,traffic
train_traffic_img_136.jpg,traffic
train_traffic_img_141.jpg,traffic
train_traffic_img_143.jpg,traffic
train_traffic_img_144.jpg,traffic
train_traffic_img_146.jpg,traffic
train_traffic_img_147.jpg,traffic
train_traffic_img_148.jpg,traffic
train_traffic_img_152.jpg,traffic
train_traffic_img_153.jpg,traffic
train_traffic_img_154.jpg,traffic
train_traffic_img_155.jpg,traffic
train_traffic_img_156.jpg,traffic
train_traffic_img_159.jpg,traffic
train_traffic_img_160.jpg,traffic
train_sewer_img_161.jpg,traffic
train_sidewalk_img_162.jpg,traffic
train_traffic_img_165.jpg,traffic
train_traffic_img_166.jpg,traffic
train_sidewalk_img_167.jpg,traffic
train_traffic_img_168.jpg,traffic
train_traffic_img_169.jpg,traffic
train_traffic_img_170.jpg,traffic
train_traffic_img_171.jpg,traffic
train_traffic_img_174.jpg,traffic
train_sanitary_img_174.jpg,traffic
train_traffic_img_175.jpg,traffic
train_canal_img_175.jpg,traffic
train_traffic_img_176.jpg,traffic
train_canal_img_176.jpg,traffic
train_traffic_img_177.jpg,traffic
train_traffic_img_180.jpg,traffic
train_traffic_img_181.jpg,traffic
train_traffic_img_183.jpg,traffic
train_traffic_img_184.jpg,traffic
train_traffic_img_186.jpg,traffic
train_traffic_img_189.jpg,traffic
train_traffic_img_191.jpg,traffic
train_traffic_img_192.jpg,traffic
train_traffic_img_194.jpg,traffic
train_traffic_img_195.jpg,traffic
train_traffic_img_196.jpg,traffic
train_traffic_img_197.jpg,traffic
train_traffic_img_198.jpg,traffic
train_traffic_img_200.jpg,traffic
train_traffic_img_203.jpg,traffic
train_traffic_img_204.jpg,traffic
train_traffic_img_205.jpg,traffic
train_traffic_img_207.jpg,traffic
train_stray_img_208.jpg,traffic
train_traffic_img_208.jpg,traffic
train_road_img_209.jpg,traffic
train_traffic_img_210.jpg,traffic
train_sidewalk_img_210.jpg,traffic
train_traffic_img_212.jpg,traffic
train_traffic_img_213.jpg,traffic
train_traffic_img_214.jpg,traffic
train_traffic_img_215.jpg,traffic
train_traffic_img_221.jpg,traffic
train_traffic_img_222.jpg,traffic
train_traffic_img_223.jpg,traffic
train_traffic_img_224.jpg,traffic
train_traffic_img_226.jpg,traffic
train_traffic_img_227.jpg,traffic
train_traffic_img_230.jpg,traffic
train_traffic_img_231.jpg,traffic
train_traffic_img_233.jpg,traffic
train_traffic_img_234.jpg,traffic
train_traffic_img_236.jpg,traffic
train_traffic_img_237.jpg,traffic
train_traffic_img_238.jpg,traffic
train_traffic_img_239.jpg,traffic
train_sewer_img_239.jpg,traffic
train_traffic_img_244.jpg,traffic
train_traffic_img_245.jpg,traffic
train_traffic_img_246.jpg,traffic
train_traffic_img_247.jpg,traffic
train_traffic_img_248.jpg,traffic
train_canal_img_248.jpg,traffic
train_traffic_img_249.jpg,traffic
train_road_img_250.jpg,traffic
train_traffic_img_250.jpg,traffic
train_traffic_img_251.jpg,traffic
train_traffic_img_253.jpg,traffic
train_traffic_img_254.jpg,traffic
train_traffic_img_257.jpg,traffic
train_traffic_img_260.jpg,traffic
train_traffic_img_263.jpg,traffic
train_traffic_img_264.jpg,traffic
train_traffic_img_265.jpg,traffic
train_traffic_img_266.jpg,traffic
train_traffic_img_269.jpg,traffic
train_traffic_img_271.jpg,traffic
train_stray_img_274.jpg,traffic
train_stray_img_275.jpg,traffic
train_traffic_img_276.jpg,traffic
train_traffic_img_278.jpg,traffic
train_traffic_img_279.jpg,traffic
train_road_img_281.jpg,traffic
train_traffic_img_281.jpg,traffic
train_traffic_img_284.jpg,traffic
train_traffic_img_285.jpg,traffic
train_traffic_img_288.jpg,traffic
train_traffic_img_290.jpg,traffic
train_sidewalk_img_290.jpg,traffic
train_traffic_img_291.jpg,traffic
train_traffic_img_292.jpg,traffic
train_traffic_img_294.jpg,traffic
train_traffic_img_295.jpg,traffic
train_traffic_img_297.jpg,traffic
train_road_img_298.jpg,traffic
train_traffic_img_299.jpg,traffic
